[6, 3, 11, 7, 4, 3, 8, 13, 12, 0]
[6, 3, 7, 11, 4, 3, 8, 13, 12, 0]
[6, 3, 7, 4, 11, 3, 8, 13, 12, 0]
[6, 3, 7, 4, 3, 11, 8, 13, 12, 0]
[6, 3, 7, 4, 3, 8, 11, 13, 12, 0]
[6, 3, 7, 4, 3, 8, 11, 12, 13, 0]
[6, 3, 7, 4, 3, 8, 11, 12, 0, 13]
[3, 6, 7, 4, 3, 8, 11, 12, 0, 13]
[3, 6, 4, 7, 3, 8, 11, 12, 0, 13]
[3, 6, 4, 3, 7, 8, 11, 12, 0, 13]
[3, 6, 4, 3, 7, 8, 11, 0, 12, 13]
[3, 4, 6, 3, 7, 8, 11, 0, 12, 13]
[3, 4, 3, 6, 7, 8, 11, 0, 12, 13]
[3, 4, 3, 6, 7, 8, 0, 11, 12, 13]
[3, 3, 4, 6, 7, 8, 0, 11, 12, 13]
[3, 3, 4, 6, 7, 0, 8, 11, 12, 13]
[3, 3, 4, 6, 0, 7, 8, 11, 12, 13]
[3, 3, 4, 0, 6, 7, 8, 11, 12, 13]
[3, 3, 0, 4, 6, 7, 8, 11, 12, 13]
[3, 0, 3, 4, 6, 7, 8, 11, 12, 13]
[0, 3, 3, 4, 6, 7, 8, 11, 12, 13]
